I (54323) vango_firmware: 265,222
I (54333) vango_firmware: 270,222
I (54343) vango_firmware: 270,218
I (54353) vango_firmware: 270,222
I (54363) vango_firmware: 270,222
I (54373) vango_firmware: 270,222
I (54383) vango_firmware: 265,222
I (54393) vango_firmware: 270,218
I (54403) vango_firmware: 274,227
I (54413) vango_firmware: 265,218
I (54423) vango_firmware: 270,222
I (54433) vango_firmware: 270,222
I (54443) vango_firmware: 270,222
I (54453) vango_firmware: 270,222
I (54463) vango_firmware: 270,222
I (54473) vango_firmware: 265,222
I (54483) vango_firmware: 270,218
I (54493) vango_firmware: 274,227
I (54503) vango_firmware: 265,218
I (54513) vango_firmware: 270,222
I (54523) vango_firmware: 270,222
I (54533) vango_firmware: 265,218
I (54543) vango_firmware: 270,222
I (54553) vango_firmware: 274,222
I (54563) vango_firmware: 265,218
I (54573) vango_firmware: 270,222
I (54583) vango_firmware: 270,222
I (54593) vango_firmware: 265,218
I (54603) vango_firmware: 270,222
I (54613) vango_firmware: 274,227
I (54623) vango_firmware: 265,214
I (54633) vango_firmware: 270,222
I (54643) vango_firmware: 270,222
I (54653) vango_firmware: 265,218
I (54663) vango_firmware: 270,222
I (54673) vango_firmware: 274,222
I (54683) vango_firmware: 265,218
I (54693) vango_firmware: 270,218
I (54703) vango_firmware: 274,227
I (54713) vango_firmware: 265,218
I (54723) vango_firmware: 270,218
I (54733) vango_firmware: 270,222
I (54743) vango_firmware: 265,218
I (54753) vango_firmware: 270,222
I (54763) vango_firmware: 274,222
I (54773) vango_firmware: 265,218
I (54783) vango_firmware: 270,222
I (54793) vango_firmware: 265,218
I (54803) vango_firmware: 274,222
I (54813) vango_firmware: 265,218
I (54823) vango_firmware: 274,222
I (54833) vango_firmware: 265,218
I (54843) vango_firmware: 270,218
I (54853) vango_firmware: 270,222
I (54863) vango_firmware: 270,222
I (54873) vango_firmware: 270,218
I (54883) vango_firmware: 274,222
I (54893) vango_firmware: 265,214
I (54903) vango_firmware: 265,222
I (54913) vango_firmware: 270,222
I (54923) vango_firmware: 270,218
I (54933) vango_firmware: 270,218
I (54943) vango_firmware: 274,222
I (54953) vango_firmware: 265,218
I (54963) vango_firmware: 270,218
I (54973) vango_firmware: 265,222
I (54983) vango_firmware: 270,218
I (54993) vango_firmware: 270,218
I (55003) vango_firmware: 274,222
I (55013) vango_firmware: 265,218
I (55023) vango_firmware: 265,222
I (55033) vango_firmware: 274,222
I (55043) vango_firmware: 265,214
I (55053) vango_firmware: 270,222
I (55063) vango_firmware: 274,227
I (55073) vango_firmware: 265,214
I (55083) vango_firmware: 270,222
I (55093) vango_firmware: 270,218
I (55103) vango_firmware: 265,218
I (55113) vango_firmware: 270,218
I (55123) vango_firmware: 274,222
I (55133) vango_firmware: 265,214
I (55143) vango_firmware: 270,222
I (55153) vango_firmware: 274,218
I (55163) vango_firmware: 261,218
I (55173) vango_firmware: 270,218
I (55183) vango_firmware: 274,222
I (55193) vango_firmware: 265,218
I (55203) vango_firmware: 270,218
I (55213) vango_firmware: 274,227
I (55223) vango_firmware: 265,214
I (55233) vango_firmware: 158,218
I (55243) vango_firmware: 698,222
I (55253) vango_firmware: 252,218
I (55263) vango_firmware: 244,218
I (55273) vango_firmware: 252,222
I (55283) vango_firmware: 252,214
I (55293) vango_firmware: 252,222
I (55303) vango_firmware: 257,218
I (55313) vango_firmware: 261,218
I (55323) vango_firmware: 261,218
I (55333) vango_firmware: 270,222
I (55343) vango_firmware: 257,214
I (55353) vango_firmware: 265,222
I (55363) vango_firmware: 270,218
I (55373) vango_firmware: 265,218
I (55383) vango_firmware: 270,218
I (55393) vango_firmware: 270,222
I (55403) vango_firmware: 265,214
I (55413) vango_firmware: 270,222
I (55423) vango_firmware: 270,222
I (55433) vango_firmware: 265,210
I (55443) vango_firmware: 270,218
I (55453) vango_firmware: 274,222
I (55463) vango_firmware: 261,214
I (55473) vango_firmware: 270,214
I (55483) vango_firmware: 274,222
I (55493) vango_firmware: 265,210
I (55503) vango_firmware: 270,222
I (55513) vango_firmware: 274,218
I (55523) vango_firmware: 261,214
I (55533) vango_firmware: 270,218
I (55543) vango_firmware: 274,218
I (55553) vango_firmware: 265,214
I (55563) vango_firmware: 270,218
I (55573) vango_firmware: 274,222
I (55583) vango_firmware: 265,210
I (55593) vango_firmware: 270,218
I (55603) vango_firmware: 274,218
I (55613) vango_firmware: 265,214
I (55623) vango_firmware: 270,218
I (55633) vango_firmware: 265,214
I (55643) vango_firmware: 270,218
I (55653) vango_firmware: 270,218
I (55663) vango_firmware: 274,222
I (55673) vango_firmware: 265,214
I (55683) vango_firmware: 270,214
I (55693) vango_firmware: 270,214
I (55703) vango_firmware: 270,218
I (55713) vango_firmware: 270,218
I (55723) vango_firmware: 270,218
I (55733) vango_firmware: 265,210
