time(ms), left_angle(rad), right_angle(rad), theta(rad), x(m), y(m)
4445,37.26378,37.093235,-0.037255026,0.8360919,-0.02515835
4465,37.4433,37.27724,-0.036275055,0.84017885,-0.02530769
4485,37.61833,37.452274,-0.036275055,0.8441145,-0.025450518
4505,37.79336,37.631794,-0.035295084,0.84810066,-0.02559422
4525,37.977367,37.811314,-0.036275055,0.85218763,-0.025741518
4545,38.14791,37.986343,-0.035295084,0.85607284,-0.025881603
4565,38.33192,38.165863,-0.036275886,0.86015993,-0.026026925
4585,38.50695,38.345383,-0.035295084,0.86414605,-0.026170628
4605,38.681984,38.524902,-0.034315113,0.86813235,-0.026310423
4625,38.86599,38.704422,-0.035295084,0.87221944,-0.026453717
4645,39.041023,38.879456,-0.035295084,0.8761553,-0.02659076
4665,39.220543,39.06346,-0.034315113,0.8802425,-0.02673209
4685,39.395573,39.238495,-0.034315113,0.8841784,-0.026867203
4705,39.575092,39.413525,-0.035295915,0.88816464,-0.027005006
4725,39.754612,39.593044,-0.035295915,0.8922013,-0.027147543
4745,39.929646,39.768078,-0.035295915,0.8961371,-0.027286518
4765,40.109165,39.947598,-0.035295915,0.9001738,-0.027429055
4785,40.288685,40.122627,-0.036276717,0.9041599,-0.027570767
4805,40.468204,40.29766,-0.037256688,0.90814596,-0.027716292
4825,40.647724,40.47269,-0.03823749,0.91213185,-0.027865821
4845,40.822754,40.647724,-0.03823749,0.9160672,-0.028016372
4865,41.002274,40.827244,-0.03823749,0.9201034,-0.028170781
4885,41.177307,41.002274,-0.03823749,0.9240387,-0.028321331
4905,41.352337,41.177307,-0.03823666,0.9279739,-0.028473811
4925,41.531857,41.356827,-0.03823666,0.93201005,-0.028630197
4945,41.70689,41.531857,-0.03823666,0.9359454,-0.028780743
4965,41.88641,41.715866,-0.037255857,0.9400321,-0.028936075
4985,42.06593,41.890896,-0.03823666,0.9440179,-0.029087579
5005,42.24096,42.06593,-0.03823666,0.9479532,-0.029238125
5025,42.42048,42.24545,-0.03823666,0.9519896,-0.029390555
5045,42.59551,42.42048,-0.03823666,0.95592487,-0.0295411
5065,42.77952,42.604485,-0.03823749,0.96006215,-0.02969734
5085,42.954548,42.77952,-0.03823666,0.9639976,-0.02984596
5105,43.12958,42.959038,-0.037256688,0.96798354,-0.029995505
5125,43.313587,43.143044,-0.037256688,0.97212076,-0.030151743
5145,43.48413,43.313587,-0.037256688,0.9759553,-0.030294672
5165,43.66365,43.497597,-0.036275886,0.98004234,-0.03044402
5185,43.84317,43.677116,-0.036275886,0.9840789,-0.030590514
5205,44.018204,43.856636,-0.035295915,0.9880651,-0.03073224
5225,44.20221,44.036156,-0.036275886,0.9921521,-0.030879542
5245,44.372753,44.215675,-0.034315113,0.9960879,-0.03101853
5265,44.552273,44.395195,-0.034315113,1.0001247,-0.031157106
5285,44.731792,44.574715,-0.034315113,1.0041616,-0.031295683
5305,44.906826,44.749744,-0.034315944,1.0080976,-0.03142887
5325,45.086346,44.933754,-0.03333514,1.012185,-0.0315662
5345,45.261375,45.104298,-0.034315944,1.0160705,-0.03169861
5365,45.440895,45.283817,-0.034315944,1.0201074,-0.03183719
5385,45.620415,45.463337,-0.034315944,1.0241442,-0.03197775
5405,45.79545,45.638367,-0.034316774,1.02808,-0.032114796
5425,45.979454,45.817886,-0.035296746,1.0321672,-0.032258093
5445,46.163464,46.001896,-0.035296746,1.0363048,-0.0324042
5465,46.334007,46.17244,-0.035296746,1.0401397,-0.03253961
5485,46.509037,46.34747,-0.035296746,1.0440754,-0.032680515
5505,46.688557,46.522503,-0.036276717,1.0480615,-0.032824207
5525,46.868076,46.702023,-0.036276717,1.0520979,-0.0329707
5545,47.04311,46.877052,-0.036277547,1.0560335,-0.033115465
5565,47.22263,47.056572,-0.036277547,1.0600699,-0.033261966
5585,47.39766,47.231606,-0.036277547,1.0640055,-0.033404805
5605,47.572693,47.406635,-0.036277547,1.0679411,-0.033547644
5625,47.7567,47.586155,-0.03725752,1.072028,-0.033698957
5645,47.93173,47.761185,-0.03725752,1.0759635,-0.033843722
5665,48.111248,47.940704,-0.03725752,1.0799999,-0.03399418
5685,48.290768,48.120224,-0.03725752,1.0840364,-0.034144636
5705,48.4658,48.299744,-0.036277547,1.0880224,-0.034290276
5725,48.64532,48.479263,-0.036277547,1.0920588,-0.034436777
5745,48.82035,48.658783,-0.035296746,1.0960448,-0.034580488
5765,48.99987,48.838303,-0.035296746,1.1000814,-0.034723025
5785,49.174904,49.017822,-0.034315944,1.1040678,-0.034860898
5805,49.354424,49.192856,-0.035295915,1.1080543,-0.034998704
5825,49.533943,49.37686,-0.034315944,1.1121415,-0.035140038
5845,49.71795,49.565357,-0.03333514,1.1163297,-0.035280682
5865,49.884007,49.7359,-0.03235517,1.1201143,-0.035405885
5885,50.063526,49.910934,-0.03333514,1.124101,-0.035535876
5905,50.238556,50.085964,-0.03333514,1.1280371,-0.035665203
5925,50.422565,50.265484,-0.034315944,1.1321244,-0.035802364
5945,50.59311,50.440517,-0.03333514,1.1360099,-0.035932913
5965,50.77263,50.620037,-0.03333514,1.1400468,-0.036067538
5985,50.961124,50.804043,-0.034315944,1.1442351,-0.036210343
6005,51.12718,50.9701,-0.034315944,1.1479692,-0.03633853
6025,51.306698,51.14962,-0.034315944,1.1520061,-0.03647711
6045,51.48173,51.320164,-0.035295915,1.1558917,-0.036611453
6065,51.66125,51.495193,-0.036276717,1.1598779,-0.036753166
6085,51.83628,51.670227,-0.036276717,1.1638135,-0.036895998
6105,52.0158,51.845257,-0.03725752,1.1677995,-0.03704162
6125,52.19532,52.024776,-0.03725752,1.1718359,-0.037192076
6145,52.370354,52.19532,-0.03823832,1.1757209,-0.03733785
6165,52.549873,52.37484,-0.03823832,1.1797571,-0.037492264
6185,52.729393,52.55436,-0.03823832,1.1837933,-0.037646677
6205,52.908913,52.729393,-0.03921829,1.1877791,-0.037802096
6225,53.08843,52.908913,-0.03921829,1.1918151,-0.037960466
6245,53.263462,53.083942,-0.039219122,1.1957502,-0.038116805
6265,53.44298,53.263462,-0.039219122,1.1997863,-0.038277157
6285,53.6225,53.44298,-0.039219122,1.2038224,-0.038437508
6305,53.80202,53.61801,-0.040199924,1.2078079,-0.03859684
6325,53.98154,53.80202,-0.039219953,1.2118943,-0.03876034
6345,54.15657,53.972565,-0.040200755,1.215779,-0.038915616
6365,54.33609,54.15657,-0.039220784,1.2198654,-0.039076995
6385,54.51561,54.331604,-0.040200755,1.2238512,-0.03923435
6405,54.690643,54.511124,-0.039220784,1.2278368,-0.039391723
6425,54.865673,54.690643,-0.038239982,1.2318225,-0.039547164
6445,55.040707,54.865673,-0.038239982,1.2357578,-0.039697725
6465,55.220226,55.049683,-0.03725918,1.2398446,-0.03985307
6485,55.395256,55.229202,-0.03627838,1.2438304,-0.040000696
6505,55.574776,55.404232,-0.03725918,1.2478164,-0.040148307
6525,55.754295,55.58824,-0.03627838,1.2519033,-0.040297665
6545,55.92933,55.76327,-0.03627921,1.2558389,-0.040442437
6565,56.10885,55.94279,-0.03627921,1.2598753,-0.040588945
6585,56.28837,56.12231,-0.03627921,1.2639117,-0.040735453
6605,56.463398,56.297344,-0.03627921,1.2678473,-0.0408783
6625,56.642918,56.48135,-0.035299238,1.2719344,-0.041023653
6645,56.822437,56.656384,-0.03627921,1.2759205,-0.04116736
6665,57.001957,56.835903,-0.03627921,1.279957,-0.041311886
6685,57.17699,57.015423,-0.035299238,1.2839432,-0.041453626
6705,57.35202,57.190453,-0.035299238,1.2878789,-0.041592613
6725,57.53154,57.374462,-0.034318436,1.2919662,-0.041733958
6745,57.706573,57.545006,-0.035299238,1.2958516,-0.04187019
6765,57.886093,57.724525,-0.035299238,1.2998883,-0.042012744
6785,58.065613,57.904045,-0.035299238,1.3039249,-0.042155292
6805,58.240643,58.079075,-0.035299238,1.3078606,-0.04229428
6825,58.420162,58.258595,-0.035299238,1.3118973,-0.04243683
6845,58.595192,58.42914,-0.03628004,1.3157825,-0.04257687
6865,58.77471,58.608658,-0.03628004,1.319819,-0.04272338
6885,58.95423,58.783688,-0.03726084,1.323805,-0.042869013
6905,59.142727,58.972183,-0.03726084,1.3280433,-0.04302493
6925,59.308784,59.142727,-0.03628087,1.3318275,-0.04316504
6945,59.483814,59.31776,-0.03628087,1.3357631,-0.04330789
6965,59.667824,59.49728,-0.037261672,1.3398501,-0.04345922
6985,59.842854,59.6768,-0.0362817,1.3438361,-0.04360493
7005,60.022373,59.85632,-0.0362817,1.3478725,-0.043751445
7025,60.201893,60.040325,-0.03530173,1.3519595,-0.043898787
7045,60.376926,60.21536,-0.03530173,1.3558952,-0.044039715
7065,60.556446,60.39488,-0.03530173,1.3599318,-0.044182274
7085,60.731476,60.56991,-0.03530173,1.3638675,-0.04432127
7105,60.910995,60.749428,-0.03530173,1.3679042,-0.04446383
7125,61.090515,60.928947,-0.03530173,1.3719409,-0.044606388
7145,61.26555,61.10398,-0.03530173,1.3758768,-0.044743456
7165,61.44507,61.2835,-0.03530173,1.3799134,-0.044886015
7185,61.624588,61.45853,-0.036282532,1.3838997,-0.045025676
7205,61.79513,61.633564,-0.03530256,1.3877848,-0.045165744
7225,61.97465,61.813084,-0.03530256,1.3918215,-0.045308307
